Epoch,Train_Loss,Train_Data_Loss,Train_Phys_Loss,Val_Loss,Val_MAE,Val_Event_MAE_Catalog,validation_station_mae_catalog,validation_event_mae_catalog,window_mw_mean,LR,seed
19,0.2754242534565846,0.0820272097879973,0.2896026190084398,0.2992475096954893,4.533206211485439e+18,0.3086055914560954,0.304493104395845,0.3086055914560954,7.706487086856312,5.279499846691251e-06,73
20,0.2784791876902768,0.0800424813063974,0.2947046553034406,0.2986360317923028,4.539152054813544e+18,0.310243288675944,0.3041434394939063,0.310243288675944,7.707348141435016,2.0816937636766182e-06,73
21,0.3000762569940793,0.0875329765780218,0.3084826173552947,0.2571984453318899,3.816042583255508e+18,0.2839225927988688,0.2832854189680296,0.2839225927988688,7.547600481007666,0.0001,73
22,0.318225882226421,0.0961056755766587,0.3184604362167161,0.8205431699752808,1.0337556652233992e+19,0.3680230776468913,0.5797774139541148,0.3680230776468913,8.080854214894932,9.972883382072954e-05,73
23,0.3160247771655757,0.0900410101899216,0.3223404079194992,0.4106115136178619,5.347823194027674e+18,0.2432841062545776,0.3742190604787236,0.2432841062545776,7.847500679204282,9.89183062363234e-05,73
24,0.2815993409665991,0.0810402545361086,0.296774417936835,0.4007599947163877,5.431453310655943e+18,0.2495694557825724,0.3586525125888431,0.2495694557825724,7.773411744378607,9.757729755661012e-05,73
25,0.2591251096252074,0.0772188630149812,0.2780750776590309,0.4166760134590046,3.292875169411477e+18,0.3456647396087646,0.4550618868772224,0.3456647396087646,7.206285671268343,9.572050015330874e-05,73
26,0.2703251127273806,0.0767559726889327,0.2895480788191645,0.2970394986627347,4.295476315647661e+18,0.2861502965291341,0.309808260656793,0.2861502965291341,7.715553576636207,9.336825748732972e-05,73
27,0.2672100271345908,0.0776036311877483,0.2857082823459245,0.6683316508750744,8.551894783283288e+18,0.2655211289723714,0.5118775688479299,0.2655211289723714,8.006386089752608,9.05463412215599e-05,73
28,0.2722956930039589,0.0718325058845709,0.2968690058877391,0.1933930055175661,3.134860971029633e+18,0.3288416067759196,0.207036125285743,0.3288416067759196,7.525610267314141,8.728566886113102e-05,73
29,0.2606968748755131,0.0723781270348986,0.2847702251260352,0.2244280950905496,3.292476732036408e+18,0.3204348882039388,0.2500900815955192,0.3204348882039388,7.508499474803428,8.362196501476348e-05,73
30,0.2400845797096396,0.0672587340612698,0.2687569357396763,0.6877201613823929,8.768331527076465e+18,0.2544235785802205,0.5090977493422983,0.2544235785802205,7.997656770885793,7.959536998847742e-05,73
31,0.2366304949373504,0.0687338315712928,0.263652295553777,0.3334797973590047,4.928059040593476e+18,0.2061254183451334,0.3264851505980898,0.2061254183451334,7.788465814205563,7.525e-05,73
32,0.2390127848166645,0.0675757410993035,0.2672486247886407,0.4890626897459073,6.999217436317971e+18,0.2371868292490641,0.4163376974952595,0.2371868292490641,7.886304051352189,7.063346383225212e-05,73
