horizon_sec,event_count,event_mae,event_rmse,event_bias
96.0,8,0.2665531635284424,0.3083368990558531,0.1553487062454224
97.0,8,0.26417720317840576,0.3057115249628497,0.15235166549682622
98.0,8,0.2632235884666443,0.3050384204183378,0.1508362174034119
99.0,8,0.25922930240631104,0.2994409838975993,0.1463366031646729
100.0,8,0.25933176279067993,0.30024364730287745,0.14598797559738164
101.0,8,0.25903719663619995,0.30115290814702844,0.1452941775321961
102.0,8,0.25854843854904175,0.3010687961789538,0.14445601701736455
103.0,8,0.25484102964401245,0.2976280101806293,0.14044677019119267
104.0,8,0.252555251121521,0.295659587027375,0.13790493011474614
105.0,8,0.25097525119781494,0.2945780668431255,0.13611261844635014
106.0,8,0.24877512454986572,0.2927462780000356,0.13374238014221196
107.0,8,0.24652981758117676,0.2904995809915071,0.1313672542572022
108.0,8,0.24431335926055908,0.28829472718020616,0.12905983924865727
109.0,8,0.24210238456726074,0.286108705873195,0.12679486274719243
110.0,8,0.23989665508270264,0.2839401091653073,0.12457089424133305
111.0,8,0.2376958131790161,0.2817875262769656,0.12238614559173588
112.0,8,0.2355000376701355,0.27964999724493694,0.12023936510086064
113.0,8,0.2333093285560608,0.27752631953059526,0.11812936067581181
114.0,8,0.231417715549469,0.2755048775388924,0.11634873151779179
115.0,8,0.23252946138381958,0.2776440938697451,0.11760078668594365
116.0,8,0.23034882545471191,0.2755113852522594,0.11558847427368169
117.0,8,0.22505134344100952,0.27099295389175104,0.11048613786697392
118.0,8,0.22248035669326782,0.26868980580908974,0.10813640356063847
119.0,8,0.22316789627075195,0.26946500861598,0.10906999111175542
120.0,8,0.2241153120994568,0.27027484645773636,0.11028741598129277
121.0,8,0.22184115648269653,0.2684270474852904,0.11083720922470097
122.0,8,0.21892774105072021,0.26594476987027504,0.11034028530120854
123.0,8,0.2173001766204834,0.2645464084768196,0.10903601646423344
124.0,8,0.21524548530578613,0.26255321931339654,0.10732512474060063
125.0,8,0.21345341205596924,0.2606234124193434,0.10589663982391362
126.0,8,0.22215843200683594,0.2630068846306855,0.11498432159423833
127.0,8,0.21977859735488892,0.26071650770251503,0.11300550699234013
128.0,8,0.21760696172714233,0.25854817954263676,0.11125229597091679
129.0,8,0.21624892950057983,0.2569819973091231,0.11032961606979375
130.0,8,0.2157498002052307,0.25604380109447294,0.11028193235397343
131.0,8,0.21934407949447632,0.2585819696688542,0.1143430352210999
132.0,8,0.21959924697875977,0.25857722404173134,0.1150800466537476
133.0,8,0.2177528738975525,0.25652925209713834,0.11372958421707158
134.0,8,0.21589446067810059,0.25446815047472127,0.11238067150115971
135.0,8,0.21382266283035278,0.2522855603780229,0.11083148717880253
136.0,8,0.21174627542495728,0.25009392757084237,0.10928987264633183
137.0,8,0.20966434478759766,0.2478926210291991,0.10775475502014165
138.0,8,0.2075769305229187,0.2456817439110868,0.10622524023056035
139.0,8,0.2090427279472351,0.24682628714824803,0.10825966596603398
140.0,8,0.20712178945541382,0.2446506286090507,0.10691760778427128
141.0,8,0.20500272512435913,0.24236525295093708,0.1053868412971497
142.0,8,0.2028656005859375,0.2400586118618406,0.10384731292724614
143.0,8,0.20073145627975464,0.23775152361795682,0.102319347858429
144.0,8,0.20079487562179565,0.23835132950348506,0.10299693346023564
145.0,8,0.20056574344635014,0.23878377318441427,0.10373728275299077
146.0,8,0.20028375387191777,0.2410215026634649,0.10590242147445683
147.0,8,0.19791828393936162,0.2387702357787735,0.10491954088211064
148.0,8,0.19594030380249028,0.23649549094718839,0.10353868007659917
149.0,8,0.19377748966217045,0.23413141103619767,0.10198633670806889
150.0,8,0.1915960788726807,0.2317576979485707,0.10042815208435063
151.0,8,0.18924783468246464,0.2293010294055186,0.09901057481765752
152.0,8,0.18615238666534428,0.2264904255233631,0.09831397533416752
153.0,8,0.1831822276115418,0.2237620464435413,0.09746443033218388
154.0,8,0.18036382198333745,0.22111672918745223,0.09643499851226811
155.0,8,0.17418496608734135,0.21605058074620873,0.09191124439239506
156.0,8,0.17156873941421513,0.21356166383179306,0.09063731431961064
157.0,8,0.1691658973693848,0.21116592330634845,0.08915894031524663
158.0,8,0.16689317226409917,0.20882901351707112,0.08757333755493169
159.0,8,0.16504667997360234,0.20738895230787932,0.08642004728317265
160.0,8,0.16269688606262211,0.20501626650423707,0.0847690582275391
161.0,8,0.16061865091323857,0.2032017214086483,0.08339415788650517
162.0,8,0.15857236385345463,0.2014863424900089,0.08205525875091557
163.0,8,0.15616683959960942,0.19911171883149265,0.08035998344421391
164.0,8,0.1537829041481018,0.19673818169582774,0.07864891290664677
165.0,8,0.15139055252075195,0.19436737744963742,0.07692139148712163
166.0,8,0.14898228645324707,0.19200007435368352,0.07517664432525639
167.0,8,0.14655816555023193,0.1896378254466846,0.07341437339782719
168.0,8,0.1457640528678894,0.18799592603966292,0.07328008413314824
169.0,8,0.14455711841583252,0.18619575493660823,0.07273046970367436
170.0,8,0.14305424690246582,0.18426402320761856,0.071882176399231
171.0,8,0.13995778560638428,0.18154884449207825,0.06943695545196538
172.0,8,0.13942867517471313,0.18010002802235822,0.06955562829971318
173.0,8,0.13795477151870728,0.17820802227153104,0.06872545480728154
174.0,8,0.13545680046081543,0.17577434675149203,0.06686692237854008
175.0,8,0.13358092308044434,0.17460949986874202,0.06562571525573735
176.0,8,0.13131028413772583,0.17273922806758127,0.06398485898971562
