model,observation_horizon_sec,release_time_sec,available_station_count,event_count,station_mae,station_rmse,station_bias,event_mae,event_rmse,event_bias,event_abs_step_p95,station_abs_step_p95
phase39,85,91.0,158,8,0.48865894357502754,0.5977842780276734,0.151137559014353,0.35654209127823133,0.41375495981935695,0.19957425104807403,0.03142587723829989,0.09577948617461499
phase47,85,91.0,158,8,0.4422699413105646,0.5460465060645363,0.3525684106762245,0.40052193413256576,0.505208353951488,0.32182449632814014,0.023675283780778454,0.05358491158230014
phase48,85,91.0,158,8,0.5409893291880836,0.6894072941531939,0.42349013902194765,0.4710080105717235,0.5855954473119017,0.3375189939264259,0.04327955664315506,0.0523057063149274
phase39,86,92.0,158,8,0.4904000653855189,0.596281812087587,0.15653885743979476,0.3550872894661301,0.411709311644085,0.20392923696906018,0.039126025919353574,0.06945446746771344
phase47,86,92.0,158,8,0.4348349943458658,0.5376264979916134,0.3373084413188103,0.4000690508941832,0.5035973726915217,0.31524289585365384,0.018216966945176116,0.06768593640993888
phase48,86,92.0,158,8,0.5261056750443095,0.6731026515089957,0.40322309238828313,0.45727102933578057,0.568423579060963,0.32049263747279044,0.03708077088557683,0.05492272632414972
phase39,87,93.0,158,8,0.49437689448480154,0.5993143491095825,0.17253171078403118,0.3586173748171715,0.4148935222680224,0.22023248754796532,0.041310447562591786,0.06227573828627875
phase47,87,93.0,158,8,0.4283692149002861,0.5325522686351865,0.3251116276729185,0.3970856234026825,0.5022526109578027,0.3081825907995819,0.03131709250519019,0.06528582377875997
phase48,87,93.0,158,8,0.51846359624355,0.664654748161019,0.3901898122875334,0.4484496449353428,0.5594760712831511,0.30886482795981496,0.026851891114679026,0.04433852636209115
phase39,88,94.0,158,8,0.5017286731876689,0.6061449098222658,0.19497526812305274,0.3646126280006293,0.4229819428788836,0.2392455700987145,0.04990983927114616,0.09036055727551176
phase47,88,94.0,158,8,0.4299933717759533,0.5352460951148499,0.32287080716951105,0.3955082908618409,0.5038559602746452,0.30345392657685333,0.027910931628600706,0.04859558186254063
phase48,88,94.0,158,8,0.5200925349091056,0.6683570244982217,0.39001461340199683,0.44926894826317276,0.56175239042834,0.30729183982219144,0.013527412309321106,0.04177299394884622
phase39,89,95.0,158,8,0.5097804588570081,0.6130101872717341,0.21220651593415596,0.37188496750137945,0.43329782808291684,0.2538602419558543,0.04668253579606814,0.1110536746215976
phase47,89,95.0,158,8,0.4395292349446747,0.5471282937601389,0.3333768648684361,0.40651921798427815,0.5141825558400366,0.3119875448491384,0.02901042546225123,0.047295160500439914
