model,event,mw_catalog,final_mw,final_abs_error,max_abs_step_20_200_mw,max_down_step_20_200_mw,max_abs_step_after_60_mw,max_down_step_after_60_mw,max_abs_step_after_120_mw,max_down_step_after_120_mw,peak_after_60_mw,peak_after_60_observation_sec,peak_to_final_drop_after_60_mw,range_after_60_mw,range_179_200_mw,downward_step_fraction_20_200
phase47,Luding 2022 M6.6,6.599999904632568,7.462532783168189,0.862532878535621,0.08450122282172234,0.07077707181666337,0.07242834435614842,0.07077707181666337,0.07242834435614842,0.07077707181666337,7.6740874971845585,142,0.21155471401636916,0.3463788819526563,0.1342414726822705,0.5666666666666667
phase47,Mandalay 2025 M7.7,7.699999809265137,7.909767649216073,0.20976783995093662,0.06370907495995137,0.06370907495995137,0.06370907495995137,0.06370907495995137,0.06370907495995137,0.06370907495995137,8.188609505266847,115,0.2788418560507733,0.4296552462610279,0.12129548629283615,0.5055555555555555
phase47,Nepal 2015 M7.3,7.300000190734863,7.087103670619819,0.21289652011504412,0.09616384239036346,0.09616384239036346,0.028377031286204613,0.02008357649604431,0.0034370599474842223,0.0034370599474842223,7.228347383774402,71,0.14124371315458273,0.1417374497933679,0.0038345253239127075,0.6555555555555556
phase47,Samos 2020 M7.0,7.0,6.790741785675198,0.20925821432480163,0.060308365996883495,0.060308365996883495,0.03406839253268412,0.014604389028169074,0.017281573697755626,0.009907059143242414,6.935700956314459,85,0.144959170639261,0.21740127721059643,0.03537041647192929,0.6055555555555555
phase47,Sand 2025 M7.3,7.300000190734863,7.875051053408269,0.5750508626734057,0.0871027939297182,0.055589046960434985,0.0871027939297182,0.055589046960434985,0.04642187657578223,0.035544058281260504,8.246575180407573,71,0.37152412699930437,0.42126496583388917,0.2040779243999582,0.5722222222222222
phase47,Xizang 2025 M7.1,7.099999904632568,7.8470858802599075,0.7470859756273391,0.07124803642635147,0.07124803642635147,0.06681916503549346,0.06681916503549346,0.050188641842055404,0.034772005051761035,8.249778669364058,71,0.40269278910415096,0.538233700298731,0.13554091119458,0.5055555555555555
phase48,Iquique 2014 M7.7,7.699999809265137,7.526182625543293,0.17381718372184363,0.059323061824994916,0.016097562030201296,0.029939942602038805,0.008041520882966502,0.008041520882966502,0.008041520882966502,7.719968237362236,64,0.19378561181894316,0.19386180123699148,0.016029131725218804,0.7055555555555556
phase48,Kodiak 2018 M7.9,7.900000095367432,7.908437350276459,0.008437254909027025,0.03933512093282587,0.034014303814496216,0.03933512093282587,0.034014303814496216,0.023037542285430312,0.014210066337467353,8.074372608561559,82,0.16593525828510014,0.2315544359287678,0.02767299533312695,0.4722222222222222
phase48,Luding 2022 M6.6,6.599999904632568,7.063929657932956,0.46392975330038766,0.030912898170131875,0.030912898170131875,0.030912898170131875,0.030912898170131875,0.007589567049205215,0.007589567049205215,7.392865716503011,60,0.32893605857005515,0.35459513877141635,0.025659080201361206,0.5833333333333334
phase48,Mandalay 2025 M7.7,7.699999809265137,7.962137833049969,0.2621380237848321,0.05071107025858623,0.04218401728725496,0.04218401728725496,0.04218401728725496,0.04218401728725496,0.04218401728725496,8.383536450217084,64,0.4213986171671156,0.4213986171671156,0.12919338288929438,0.5611111111111111
phase48,Nepal 2015 M7.3,7.300000190734863,7.079476094723201,0.2205240960116619,0.06624816489010676,0.021200188144969268,0.014802125327065596,0.014802125327065596,0.0015649277596470057,0.0014401828672303552,7.2107046835585376,60,0.13122858883533617,0.13344290111529666,0.0027402000146512506,0.7277777777777777
phase48,Samos 2020 M7.0,7.0,6.862263561818066,0.1377364381819337,0.06613783886116398,0.06613783886116398,0.014915829443583384,0.007990822336090275,0.003300177382543623,0.0008304424510710007,6.862263561818066,200,0.0,0.1665745192849073,0.013681987758355163,0.3888888888888889
phase48,Sand 2025 M7.3,7.300000190734863,7.6700186309782845,0.37001844024342123,0.0542393146503084,0.0542393146503084,0.0542393146503084,0.0542393146503084,0.05213414844990538,0.0457050798530112,8.508833429409158,129,0.8388147984308736,0.8388147984308736,0.1794019774893867,0.5444444444444444
phase48,Xizang 2025 M7.1,7.099999904632568,7.265614375976353,0.16561447134378504,0.0501892071664205,0.0501892071664205,0.0501892071664205,0.0501892071664205,0.0501892071664205,0.0501892071664205,8.109363343621032,75,0.8437489676446788,0.8461997302543134,0.04440783975631035,0.6222222222222222
