cohort,event,mw_catalog,n_stations,new3_mw_200s,new3_error,old_mw_200s,old_error,crowell_mw_200s,crowell_error,mechanism,strike,dip,rake,depth_km
validation,RatIslands2014,7.900000095367432,3,7.816159725189209,-0.0838403701782226,7.9173712730407715,0.0173711776733398,7.410276093884814,-0.4897239061151861,Strike slip,207.0,27.0,-13.0,109.0
validation,Maule2010,8.800000190734863,18,8.79731035232544,-0.0026898384094238,8.898133277893066,0.0981330871582031,8.787650337708808,-0.0123496622911929,Reverse,19.0,18.0,116.0,44.8
test,2016p661332,7.1,7,,,,,,,Normal,349.0,19.0,-139.0,21.8
test,Ecuador2016,7.8,20,,,,,,,Reverse,27.0,21.0,124.0,21.0
test,Iquique2014,8.2,20,,,,,,,Reverse,355.0,15.0,106.0,25.0
test,Napa2014,6.02,28,,,,,,,Strike slip,157.0,83.0,174.0,11.2
test,Puebla2017,7.1,2,,,,,,,Normal,300.0,44.0,-83.0,48.0
test,Ridgecrest2019,7.1,130,,,,,,,Strike slip,321.0,81.0,180.0,8.0
test,Tokachi2003,8.16,228,,,,,,,Reverse,250.0,11.0,132.0,27.0
test,ak014cbigci8,6.2,4,,,,,,,Strike slip,48.0,70.0,11.0,108.9
test,us7000i9bw,7.6,11,,,,,,,Reverse,306.0,17.0,102.0,26.943
