variant,horizon_sec,event,n_stations,median_shape_r,median_delta_mw,mae_delta_mw
old,200,Anchorage2018,8,0.8109163726166952,0.020555885304278654,0.15500283167476647
old,200,Maule2010,18,0.8041036031819174,0.09812690561385917,0.17257238240311729
old,200,Noto2024,397,0.7838284389572742,0.3374091280080762,0.3730068290295835
old,200,Parkfield2004,11,0.745139716884271,0.213664785413906,0.21888732348979448
old,200,RatIslands2014,3,0.6368280793474075,0.017315882091500256,0.15156888323997642
old,200,SandPoint2020,9,0.7123561981040659,-0.07416483913614247,0.24927423805088575
new3,30,ALL,144,0.48833035021403703,0.10199899395712331,0.3376607565344141
new3,60,ALL,429,-0.07347862600791914,0.17067488871308445,0.33737176678544295
new3,90,ALL,441,0.3398467623133497,0.1249316638138982,0.2223499423927951
new3,120,ALL,446,0.6751466897133409,0.30713580155179443,0.34705611443899176
new3,160,ALL,446,0.7449179354953952,0.40871474676818664,0.426566183578082
new3,200,ALL,446,0.7661420774982837,0.34170792591503707,0.35776247645328974
old,30,ALL,144,0.7979365522440074,-0.029701171531928416,0.2621923930646444
old,60,ALL,429,0.6850781511811869,0.23905444978798762,0.3526923553463382
old,90,ALL,441,0.697708063541518,0.2501317564636807,0.30599554298041776
old,120,ALL,446,0.7873225757264422,0.3437606923730514,0.37040017731498875
old,160,ALL,446,0.7495850995787736,0.3049815802989557,0.3834176355038419
old,200,ALL,446,0.7806959151008764,0.31227881974914107,0.3532196681882612
new3,30,EVENT_MEDIAN,144,0.5495991106752981,-0.03208366258531248,0.2744939114532585
new3,60,EVENT_MEDIAN,429,0.4644707731102635,0.09255919765180165,0.172209217257652
new3,90,EVENT_MEDIAN,441,0.5071631620854969,0.0007869687326105268,0.15844905063814804
new3,120,EVENT_MEDIAN,446,0.6664431964513611,0.026593998837418642,0.18730351859917013
new3,160,EVENT_MEDIAN,446,0.693773689953042,0.011586552840817443,0.24965577010898646
new3,200,EVENT_MEDIAN,446,0.7250329371587029,0.0061178556828294095,0.0900980057601574
old,30,EVENT_MEDIAN,144,0.4426803665298833,-0.0592001141737033,0.23425254224914868
old,60,EVENT_MEDIAN,429,0.5404511535135942,0.02503503148146846,0.1883502618489823
old,90,EVENT_MEDIAN,441,0.5970038114457137,0.06986952745238639,0.15388096663158723
old,120,EVENT_MEDIAN,446,0.691587085240791,-0.0567319690170458,0.25954782936241955
old,160,EVENT_MEDIAN,446,0.7104836308269278,0.028770774844381064,0.22179302604980614
old,200,EVENT_MEDIAN,446,0.7644840779207727,0.05934139545906891,0.1268729042612938
