method,observation_horizon_sec,event,mw_pred_median,mw_catalog,mw_stf_native,error_vs_catalog,error_vs_stf_native,n_stations,pred_std,pred_iqr
final,24,2021p169083,7.605633497238159,7.199999809265137,7.435434818267822,0.40563368797302246,0.17019867897033691,10,0.14937610968578607,0.2095012664794922
final,24,Aegean2014,7.049355506896973,6.900000095367432,7.039112091064453,0.14935541152954102,0.010243415832519531,4,0.17527286451176533,0.18757092952728271
final,24,Chignic2021,8.003988265991211,8.199999809265137,8.158402442932129,-0.19601154327392578,-0.15441417694091797,41,0.2955281181488003,0.2574958801269531
final,24,ElMayor2010,7.356205224990845,7.199999809265137,7.054410934448242,0.156205415725708,0.30179429054260254,84,0.30918171195652727,0.46858060359954834
final,24,Eureka2014,7.252493858337402,6.800000190734863,7.036463260650635,0.45249366760253906,0.21603059768676758,15,0.13306197332174324,0.1362919807434082
final,24,Ibaraki2011,7.756310939788818,7.900000095367432,7.699999809265137,-0.14368915557861328,0.05631113052368164,507,0.3548399661707423,0.48386502265930176
final,24,Illapel2015,7.902429103851318,8.300000190734863,8.278295516967773,-0.3975710868835449,-0.3758664131164551,24,0.38696513831577334,0.5158871412277222
final,24,Kaikoura2016,7.494655132293701,7.800000190734863,7.906265735626221,-0.3053450584411621,-0.41161060333251953,32,0.30984635124952287,0.4336308240890503
final,24,Kilauea2018,7.024314880371094,6.900000095367432,6.959524631500244,0.12431478500366211,0.06479024887084961,15,0.07473172245197551,0.09346961975097656
final,24,Kumamoto2016,7.162715911865234,7.0,6.987936019897461,0.16271591186523438,0.17477989196777344,161,0.40275732415580273,0.5889015197753906
final,24,Lefkada2015,6.542590141296387,6.5,6.584547519683838,0.04259014129638672,-0.04195737838745117,3,0.2132714733400214,0.253464937210083
final,24,Melinka2016,7.682368278503418,7.599999904632568,7.548134803771973,0.08236837387084961,0.1342334747314453,5,0.19389916241375932,0.13463354110717773
final,24,Mentawai2010,7.248710632324219,7.800000190734863,7.852694034576416,-0.5512895584106445,-0.6039834022521973,9,0.3423273116752348,0.47791147232055664
final,24,Miyagi2011A,7.6413726806640625,7.300000190734863,7.2601847648620605,0.3413724899291992,0.38118791580200195,84,0.2536328488534824,0.2883169651031494
final,24,Miyagi2011B,7.6421003341674805,7.099999904632568,7.146298408508301,0.5421004295349121,0.4958019256591797,46,0.3975914843557048,0.730705738067627
final,24,Nepal2015,7.367321729660034,7.800000190734863,7.9343438148498535,-0.4326784610748291,-0.5670220851898193,6,0.2785155072700854,0.4662288427352905
final,24,Nicoya2012,7.507333278656006,7.599999904632568,7.513957500457764,-0.0926666259765625,-0.0066242218017578125,9,0.16755935284619436,0.20511770248413086
final,24,Simeonof2020,7.851920127868652,7.800000190734863,7.865213871002197,0.05191993713378906,-0.013293743133544922,19,0.28181536702233156,0.3988916873931885
final,24,Tehuantepec2017,7.9742751121521,8.199999809265137,8.14512825012207,-0.2257246971130371,-0.1708531379699707,4,0.18140218334851538,0.2509164810180664
final,24,Tohoku2011,8.094350337982178,9.100000381469727,9.031342506408691,-1.0056500434875488,-0.9369921684265137,688,0.2960148622132636,0.352825403213501
final,24,nc73821036,6.783477783203125,6.400000095367432,6.360384464263916,0.38347768783569336,0.423093318939209,9,0.1590113843389158,0.270815372467041
final,24,us6000ah9t,7.413845062255859,7.400000095367432,7.415288925170898,0.013844966888427734,-0.0014438629150390625,5,0.14859457623449973,0.22242355346679688
final,25,2013p543824,6.835555076599121,6.5,6.545749664306641,0.3355550765991211,0.28980541229248047,8,0.12546627866904522,0.15722417831420898
final,25,2013p613797,6.868454694747925,6.5,6.6639580726623535,0.3684546947479248,0.2044966220855713,10,0.252863880472595,0.2109239101409912
final,25,2021p169083,7.592813014984131,7.199999809265137,7.435434818267822,0.39281320571899414,0.1573781967163086,10,0.16029019715717974,0.22905123233795166
final,25,Aegean2014,6.997832775115967,6.900000095367432,7.039112091064453,0.09783267974853516,-0.04127931594848633,4,0.19939081029724406,0.2621666193008423
final,25,Chignic2021,7.9961676597595215,8.199999809265137,8.158402442932129,-0.20383214950561523,-0.16223478317260742,41,0.2997564711591415,0.25543975830078125
final,25,ElMayor2010,7.36284065246582,7.199999809265137,7.054410934448242,0.1628408432006836,0.3084297180175781,84,0.3089732876420216,0.4487673044204712
final,25,Eureka2014,7.225888729095459,6.800000190734863,7.036463260650635,0.4258885383605957,0.18942546844482422,15,0.13628844144192398,0.13429641723632812
final,25,Ibaraki2011,7.747138977050781,7.900000095367432,7.699999809265137,-0.1528611183166504,0.04713916778564453,507,0.3536475411471515,0.48745107650756836
final,25,Illapel2015,7.880078077316284,8.300000190734863,8.278295516967773,-0.4199221134185791,-0.39821743965148926,24,0.38600426934409127,0.5228410959243774
